Date,Price,Open,High,Low,Change %
01-01-1991,8.021,8.021,8.021,8.021,-0.72%
01-12-1990,8.079,8.079,8.079,8.079,-2.14%
01-11-1990,8.256,8.256,8.256,8.256,-4.30%
01-10-1990,8.627,8.627,8.627,8.627,-2.08%
01-09-1990,8.81,8.81,8.81,8.81,-0.55%
01-08-1990,8.859,8.859,8.859,8.859,6.08%
01-07-1990,8.351,8.351,8.351,8.351,-0.85%
01-06-1990,8.423,8.423,8.423,8.423,-2.26%
01-05-1990,8.618,8.618,8.618,8.618,-5.01%
01-04-1990,9.073,9.073,9.073,9.073,5.24%
01-03-1990,8.621,8.621,8.621,8.621,1.10%
01-02-1990,8.527,8.527,8.527,8.527,1.23%
01-01-1990,8.423,8.423,8.423,8.423,6.18%
01-12-1989,7.933,7.933,7.933,7.933,1.21%
01-11-1989,7.838,7.838,7.838,7.838,-1.07%
01-10-1989,7.923,7.923,7.923,7.923,-4.58%
01-09-1989,8.303,8.303,8.303,8.303,0.57%
01-08-1989,8.256,8.256,8.256,8.256,5.68%
01-07-1989,7.812,7.812,7.812,7.812,-3.52%
01-06-1989,8.097,8.097,8.097,8.097,-5.88%
01-05-1989,8.603,8.603,8.603,8.603,-4.60%
01-04-1989,9.018,9.018,9.018,9.018,-3.07%
01-03-1989,9.304,9.304,9.304,9.304,-0.20%
01-02-1989,9.323,9.323,9.323,9.323,3.55%
01-01-1989,9.003,9.003,9.003,9.003,-1.55%
01-12-1988,9.145,9.145,9.145,9.145,0.92%
01-11-1988,9.062,9.062,9.062,9.062,4.86%
01-10-1988,8.642,8.642,8.642,8.642,-2.43%
01-09-1988,8.857,8.857,8.857,8.857,-4.29%
01-08-1988,9.254,9.254,9.254,9.254,1.49%
01-07-1988,9.118,9.118,9.118,9.118,3.50%
01-06-1988,8.81,8.81,8.81,8.81,-4.37%
01-05-1988,9.213,9.213,9.213,9.213,3.90%
01-04-1988,8.867,8.867,8.867,8.867,3.48%
01-03-1988,8.569,8.569,8.569,8.569,5.12%
01-02-1988,8.152,8.152,8.152,8.152,-1.45%
01-01-1988,8.272,8.272,8.272,8.272,-6.36%
01-12-1987,8.834,8.834,8.834,8.834,-1.72%
01-11-1987,8.989,8.989,8.989,8.989,2.16%
01-10-1987,8.799,8.799,8.799,8.799,-8.70%
01-09-1987,9.637,9.637,9.637,9.637,7.44%
01-08-1987,8.97,8.97,8.97,8.97,3.62%
01-07-1987,8.657,8.657,8.657,8.657,3.42%
